受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2023/4/1,1,17694200,15655300,13346500,10.48,16.53,14.68,14.68,14.68,5.84,5.84,5.84,5.84,5.84,4992400,1315100,1037200,715100
2023/4/1,2,19404500,15901400,13408300,10.41,13.99,13.99,13.99,13.99,9.4,9.4,9.4,9.4,9.4,5963350,1315450,1556650,992250
2023/4/1,3,20293600,15947500,13455550,10.42,11.83,11.83,11.83,11.83,10.13,10.13,10.13,10.13,10.13,6366250,1315750,1830950,1266250
2023/4/1,4,20808400,15830300,13461450,10.37,11.08,11.08,11.08,11.08,10.13,10.13,10.13,10.13,10.13,6659450,1315950,2054200,1489400
2023/4/1,5,20885350,15821750,13508900,10.35,11.02,11.02,11.02,11.02,10,10,10,10,5.84,6530500,1316100,2097150,1532200
2023/4/1,6,20938150,15929450,13609800,10.35,10.99,10.99,10.99,10.99,10,10,10,10,5.84,6484750,1316200,2113900,1548800
2023/4/1,7,20753250,16154200,13562300,10.37,11.3,11.3,11.3,11.3,10.13,10.13,10.13,10.13,6,6519450,1316200,2204000,1638650
2023/4/1,8,20700700,16209350,13575150,10.41,11.52,11.52,11.52,11.52,10.2,10.2,10.2,10.2,7,6594350,1316250,2279400,1713900
2023/4/1,9,20678100,16309100,13638600,10.6,13.33,13.33,13.33,13.33,12,12,12,12,7,6610100,1316100,2326950,1780350
2023/4/1,10,20621350,16319400,13636700,10.97,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,7,6781350,1316050,2290500,1793400
2023/4/1,11,20603300,16174400,13576050,13.15,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,7048050,1315850,2112150,1779500
2023/4/1,12,20030900,15898550,13161100,14.22,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,7038300,1115700,1946500,1646500
2023/4/1,13,19522100,14584850,12153700,13.5,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,7178600,865600,1890100,1590100
2023/4/1,14,20415800,14042500,11882700,10.37,11.27,11.27,11.27,11.27,9.62,9.62,9.62,9.62,9.62,7292950,615750,1594600,1444600
2023/4/1,15,22194700,13707900,12412400,6.03,10.35,10.35,10.35,10.35,5.84,5.84,5.84,5.84,5.84,8046750,365800,1397150,1247150
2023/4/1,16,25009000,13204550,12838050,1,5,6,6,3,0.01,0.01,0.01,0.01,0.01,8974400,115900,1175350,1174850
2023/4/1,17,28177850,12533900,12533400,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10517900,115900,1011650,1011150
2023/4/1,18,30258700,12791050,12790550,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11324350,116100,1060300,1059800
2023/4/1,19,31558850,12640150,12640150,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11494500,116500,997900,997900
